bucket,count,in_current_scan,in_current_scan_pct,watch_plus,watch_plus_pct,targeted_plus,targeted_plus_pct,approved_live,approved_live_pct,median_priority
missing_selection,76,59,77.63,4,5.26,1,1.32,1,1.32,3.372
missing_universe,104,102,98.08,31,29.81,16,15.38,3,2.88,5.2126
