ticker
BN.PA
CA.PA
MDT
AMGN
V
ROP
MMC
UNH
ABNB
ORA.PA
SYK
BMY
LIN
JNJ
GD
EL.PA
SU.PA
LMT
BRK-B
HD
ADI
TXN
CS.PA
TTE
HON
KMI
BLK
ENGI.PA
JPM
SHEL
EMR
RIO
CMI
