ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
2345.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,research_priority,persistent_leader,high,8.9518,5.2,0.2617,2,optical-networking,0.8732,0,4148.0,0.0027,0,1,0.8875,1.1462,610.3056,22.7055,12.4344,0
6857.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,research_priority,persistent_leader,medium,8.1014,5.2,-0.0945,3,semiconductors,0.9876,0,4148.0,-0.0011,0,1,0.8875,1.4515,1427.0761,22.3402,12.343,0
UCTT,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,prime_watch,prime_watch,0,mixed_long,shadow_ready,persistent_leader,weak,0.0,5.9,0.0,3,semiconductors,0.9807,0,4148.0,0.0,0,2,0.925,1.3094,967.5809,19.1023,12.1748,0
PR,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,robust_long,research_priority,fringe,low,6.0399,5.4333,-0.1381,3,oil-gas,0.9098,0,3647.0,0.0,0,1,0.8875,0.6985,934.4544,16.5329,12.0698,0
CIFR,quality_lane,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,weak,shadow_ready,persistent_leader,medium,7.8255,4.55,-0.045,2,technology,0.8141,0,1998.0,0.0,0,1,0.8564,2.5535,200.7036,21.7857,11.8525,0
WBD,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,robust_long,research_priority,emerging_leader,weak,0.0,5.9,0.0,3,communication-services,0.9387,0,4148.0,0.0,0,1,0.8875,0.7182,264.2682,15.7531,11.3275,0
INTC,legacy_universe_gap,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,approved,approved,0,mixed_long,archive,fringe,low,5.5021,3.925,0.0477,3,semiconductors,0.993,0,4148.0,0.0,0,2,0.925,1.2153,5290.831,18.4172,11.0808,0
6869.HK,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,high,9.8697,5.3167,-0.1022,3,optical-networking,0.8148,0,4139.0,-0.0005,0,1,0.8875,7.2767,-154.1429,24.1183,10.8081,0
FIX,legacy_universe_gap,1,14,2026-03-20,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,shadow_ready,persistent_leader,weak,0.0,4.9722,0.0,2,industrials,1.0207,0,4148.0,0.0,0,1,0.8875,1.6697,-2133.4284,15.4393,10.6741,0
WULF,quality_lane,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,shadow_ready,persistent_leader,high,8.9801,5.55,0.2382,2,financial-services,0.7292,0,4148.0,0.0,0,1,0.8875,2.7848,-2574.8973,21.6436,10.4128,0
000660.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,medium,7.9016,5.55,-0.0406,3,semiconductors,0.8022,0,4148.0,0.0014,0,1,0.8875,2.4435,-187.4396,19.4617,10.2379,0
