ticker,promotion_stage,validation_lane,governance_role,recency_flag,entry_timing_bucket,entry_timing_zone,entry_hot_proto,entry_timing_score,shadow_readiness,shadow_probation_score,promotion_score,dynamic_status,recommendation,scan_algo_fit,scan_early_leader_fit,scan_early_leader_score,scan_quality_compounder_fit,scan_quality_compounder_score,scan_event_active,scan_event_quality_score,scan_event_quality_label,scan_hot_archetype,scan_hot_candidate_score,pit_cluster_key,pit_data_context_score,pit_low_float_flag,pit_fx_headwind_flag,core_latest_rank,core_rank_bridge_fit,core_rank_bridge_score,pit_listing_age_days,pit_earnings_snapshot_count,profile_count,source_type_count,recent_score,scan_entry_heat_flag,history_scans_seen,history_watch_scans,history_targeted_scans,history_probation_scans,history_consecutive_watch,history_consecutive_targeted,history_consecutive_probation,history_constructive_scans,history_hot_late_scans,history_avg_support_count,history_stage_progression,history_emergence_persistence_score,history_best_promotion_stage,metrics_carried_from_history,candidate_memory_score,full_delta_roi_pct,oos_delta_roi_pct,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025
PR,targeted_integration,robust_long,research_priority,weak_everywhere,constructive,constructive,not_hot,1.8222,shadow_building,1.7706,934.4544,watch,watch,medium,low,5.118121173736964,low,6.039887798838837,1,-0.1381,neutral,not_hot,1.862354878306264,oil-gas,0.8875,0,0,0.0,weak,0.0,3647.0,1.0,3,4,0.6985152307627323,0.0,6,6,4,0,6,2,0,6,0,4.0,0.0,5.4333,targeted_integration,1,0.0,18141.01792709593,-182.28153705501973,0.937130623081174,0.004807880131733854,1.0,1.0
3037.TW,targeted_integration,mixed_long,research_priority,,clean,clean,not_hot,3.989,shadow_building,1.8161,661.7978,watch,watch,high,medium,8.47406442550959,high,8.664412148856297,1,0.0038,neutral,not_hot,1.526354171565661,technology,0.4875,0,0,0.0,weak,0.0,,1.0,1,2,2.855330968112923,0.0,6,6,6,0,6,6,0,6,0,2.0,0.0,5.7333,targeted_integration,1,0.0,10410.742834122982,-8.2746070580979,0.0,0.0,0.0,0.0
2345.TW,targeted_integration,mixed_long,research_priority,,constructive,constructive,not_hot,2.985,shadow_building,2.0548,610.3056,watch,watch,high,medium,7.983973280933655,high,8.951802001553157,1,0.2617,high,not_hot,2.412454197718736,optical-networking,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,2,4,1.1462146730891525,0.0,6,6,3,0,6,3,0,6,0,4.0,0.0,5.2,targeted_integration,1,0.0,11014.274536411249,-558.3804552609872,0.0,0.0,0.0,0.0
TER,targeted_integration,mixed_long,shadow_ready,,clean,clean,not_hot,3.1135,shadow_ready,1.559,502.2432,watch,watch,high,high,8.507435912489875,high,8.439023186916627,1,-0.0358,neutral,not_hot,2.248133540660522,semiconductors,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,3,2.366201009532281,0.0,6,6,3,0,6,3,0,6,0,3.0,2.5,5.4917,targeted_integration,1,0.0,8050.633769158419,-558.3804552609872,0.0,0.0,0.0,0.0
FTI,targeted_integration,mixed_long,research_priority,,constructive,constructive,not_hot,2.809,shadow_building,1.8078,421.6263,approved,add,high,medium,7.510722044066269,medium,8.077956078667707,1,0.0145,neutral,not_hot,2.373920563867191,oil-gas,0.4875,0,0,0.0,weak,0.0,,1.0,3,4,0.9163068727648392,0.0,6,6,6,0,6,6,0,6,0,3.6667,0.0,5.9,targeted_integration,1,0.0,1310.3775813528628,1159.985786674686,0.0,0.0,0.0,0.0
AA,targeted_integration,mixed_long,research_priority,,constructive,constructive,not_hot,2.9272,shadow_building,1.802,396.5116,approved,add,medium,medium,7.009111365459156,weak,0.0,1,0.3067,high,not_hot,2.770909437670289,basic-materials,0.4875,0,0,0.0,weak,0.0,,1.0,2,4,1.086448824658961,0.0,6,6,2,0,6,2,0,6,0,2.8333,2.0,5.1722,targeted_integration,1,0.0,2335.5654240445583,804.9489159882382,0.0,0.0,0.0,0.0
WBD,targeted_integration,robust_long,research_priority,weak_everywhere,clean,clean,not_hot,3.5923,shadow_building,1.9402,264.2682,watch,watch,medium,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,communication-services,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,3,0.7182025206954774,0.0,6,6,6,0,6,6,0,6,0,3.0,0.0,5.9,targeted_integration,1,0.0,578.2270186475071,0.0,0.062254989991542525,0.0019359497871200332,1.0,1.0
FORM,targeted_integration,weak,research_priority,,clean,clean,not_hot,3.6747,shadow_building,1.0546,218.5544,reject,reject,high,high,8.534882795349237,medium,8.103058949121417,1,0.0003,neutral,not_hot,1.2862697948871624,semiconductors,0.925,0,0,0.0,weak,0.0,4148.0,2.0,3,3,2.620442296407853,0.0,6,6,2,0,6,2,0,6,0,3.0,1.0,5.0833,targeted_integration,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIFR,targeted_integration,weak,shadow_ready,,constructive,constructive,not_hot,1.7388,shadow_ready,2.1635,200.7036,watch,,high,medium,7.166025093749587,medium,7.825496907188138,1,-0.045,neutral,not_hot,1.5075602812341304,technology,0.8564,0,0,0.0,weak,0.0,1998.0,1.0,2,4,2.553503906977368,0.0,6,6,2,0,6,2,0,2,0,3.3333,1.0,4.55,targeted_integration,0,0.0,,,0.0,0.0,1.0,0.0
6869.HK,targeted_integration,weak,research_priority,,clean,clean,not_hot,5.3762,shadow_building,0.8416,-154.1429,reject,reject,high,high,10.069042693371488,high,9.869655655230115,1,-0.1022,neutral,not_hot,1.2931783315569192,optical-networking,0.8875,0,0,0.0,weak,0.0,4139.0,1.0,3,4,7.276734337715145,0.0,6,6,3,0,6,3,0,6,0,4.0,1.0,5.3167,targeted_integration,1,0.0,-6748.582926167495,-1148.2437744654171,0.0,0.0,0.0,0.0
000660.KS,targeted_integration,weak,research_priority,,clean,clean,not_hot,3.0388,shadow_building,2.0743,-187.4396,reject,reject,high,medium,7.761207677109005,medium,7.901641253682002,1,-0.0406,neutral,not_hot,2.147731357812233,semiconductors,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,3,2.443518743191313,0.0,6,6,4,0,6,4,0,6,0,3.8333,1.0,5.55,targeted_integration,1,0.0,-8099.884891417256,-958.4376087184836,0.0,0.0,0.0,0.0
CIEN,targeted_integration,weak,research_priority,weak_everywhere,clean,clean,not_hot,4.2479,shadow_building,1.1231,-267.6546,reject,reject,high,high,10.04884128455331,high,9.87575390443061,1,-0.1151,neutral,not_hot,1.2450758556838155,optical-networking,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,4,4.193405065778102,0.0,6,6,2,0,6,2,0,4,0,3.6667,0.0,4.7,targeted_integration,0,0.0,-10519.360030065072,-558.3804552609872,-0.4015958752824744,-0.005197779772059711,1.0,1.0
5803.T,targeted_integration,weak,research_priority,,clean,clean,not_hot,4.2268,shadow_building,1.4073,-930.3572,reject,reject,high,high,9.42347314321516,high,9.30955086811787,1,0.3721,high,not_hot,2.8251498953898158,industrials,0.925,0,0,0.0,weak,0.0,4148.0,2.0,3,5,2.828016821310038,0.0,6,6,3,0,6,2,0,3,1,4.5,1.0,4.75,targeted_integration,1,0.0,-24849.123856045557,-1480.3333497809535,0.0,0.0,0.0,0.0
CAMT,targeted_integration,mixed_long,shadow_ready,,clean,clean,not_hot,3.2069,shadow_ready,2.1876,-2011.3023,watch,watch,medium,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,semiconductors,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,1,0.875693759762301,0.0,6,6,2,0,6,2,0,6,0,3.0,1.0,5.0833,targeted_integration,1,0.0,-57567.264763859406,857.3123258983005,0.0,0.0,0.0,0.0
FIX,targeted_integration,mixed_long,shadow_ready,,constructive,constructive,not_hot,2.2429,shadow_ready,2.295,-2133.4284,watch,watch,medium,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,industrials,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,2,2,1.669678279744658,0.0,6,6,2,0,6,2,0,6,0,2.3333,1.0,4.9722,targeted_integration,1,0.0,-58461.873194,13.314048,0.0,0.0,0.0,0.0
STX,targeted_integration,weak,research_priority,,clean,clean,not_hot,3.1951,shadow_building,1.0747,-2418.1563,reject,reject,high,high,8.54718882178302,medium,7.812783232674529,1,-0.1,neutral,not_hot,2.2290110775581766,technology,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,5,3.132509073113509,0.0,6,6,2,0,6,2,0,4,1,4.6667,1.0,4.65,targeted_integration,1,0.0,-63160.76751433394,-957.2681363052052,0.0,0.0,0.0,0.0
WULF,targeted_integration,weak,shadow_ready,,clean,clean,not_hot,3.3719,shadow_ready,2.292,-2574.8973,reject,reject,high,high,8.809270097090948,high,8.980134312303091,1,0.2382,high,not_hot,2.523593381878808,financial-services,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,2,5,2.78475105855156,0.0,6,6,4,0,6,4,0,6,0,4.3333,1.0,5.55,targeted_integration,1,0.0,-60577.20526896787,-3689.40945735313,0.0,0.0,0.0,0.0
