name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,candidate_status,tested_as_of,test_reused,retest_reason,priority_score,source_count,source_types,sector,industry,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_algo_fit,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,backtestable_now,bars,latest_rank_if_added,days_top15_trend_if_added,days_top5_trend_if_added,full_realized_pnl_if_added,oos_realized_pnl_if_added,full_buy_count_if_added,oos_buy_count_if_added,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,recommendation
AXTI,58204.18144808834,76.5243999086787,-44.82367157144107,1.6776247296971334,620,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,,2026-04-04,0,new_candidate,25.931665062560157,3.0,custom_screen|industry_top_performing|predefined_screen,,,17.675721011260535,2.2318042152753774,9.76171115981562,33.311689260698024,11.0,11.58465602851268,high,1.0,679.0,187.0,0.27540500736377027,15.799114706789847,10.040484490535428,0.34875170191484606,1.0,2.9067341564646165,-0.22793690432980385,0.3503705267118977,0.0,0.0,persistent_leader,1.0,3166.0,1.0,679.0,187.0,2734602.964355901,57519.327802421714,5.0,4.0,58193.32827764459,,55.17632842855893,2580.3124161357746,,71.1891249706593,watch
RIG,59015.293914572656,76.74217029203349,-49.47004629519897,1.666791901458022,622,1725.0004421170242,99.57900551235372,-30.949585694049976,2.136295849354315,228,,2026-03-26,1,cached_no_positive_variation,25.295476419634266,3.0,custom_screen|predefined_screen|sector_top_company,,,0.9292033510922239,0.5956416392206287,1.0402477132115338,0.9849398449087112,9.3,10.061919430648143,high,8.0,356.0,148.0,0.4157303370786517,0.842761164564173,1.6135775431036703,0.8598228471767538,0.40049230877239755,0.6504821573680304,-0.04906200348813616,0.034536934219975945,0.0,0.0,persistent_leader,1.0,3166.0,8.0,356.0,148.0,5295.22795703209,-55.63058796753069,2.0,2.0,59004.44074412891,,50.52995370480103,1723.286826590804,,69.05041430595003,watch
AAOI,41893.29560385655,71.42991366295604,-44.85320257601231,1.6042271080146737,616,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,,2026-04-04,0,recent_score_jump,26.196342637151105,3.0,custom_screen|industry_top_growth|industry_top_performing|predefined_screen,,,3.813054275552669,1.980780316775257,2.6562281274863233,5.88601740300772,10.975,12.20184605886062,high,3.0,766.0,471.0,0.6148825065274152,3.466511966688655,2.078182092094195,0.48035592055533827,1.0,1.79389244674987,-0.1818754278056316,0.042122200543583954,0.0,1.0,persistent_leader,1.0,3166.0,3.0,766.0,471.0,-234052.8416518935,-4433.461184524874,14.0,9.0,41882.442433412805,,55.14679742398769,1675.6432901239375,,64.22886269700255,watch
STX,37426.47958387945,69.71805480925102,-44.84660213135972,1.6123635964117695,607,1588.9857831762035,95.93454199424694,-28.81087502934071,2.142398505270564,215,,2026-03-26,1,cached_no_positive_variation,44.6655437921078,6.0,industry_top_growth|industry_top_performing|sector_top_company|seed_peer,,,2.012012070739859,0.5590978703410248,0.6717021938697973,4.078779047809338,10.45,10.194990589809237,high,5.0,242.0,50.0,0.2066115702479339,1.743443736878509,2.386333286078019,0.8898907437938461,0.4157409554749947,0.708254807653572,-0.03853823967215386,0.1449293996709724,1.0,0.0,persistent_leader,1.0,3166.0,5.0,242.0,50.0,0.0,0.0,0.0,0.0,37415.6264134357,,55.15339786864028,1587.2721676499834,,71.1891249706593,watch
AA,46024.68381973414,72.8714802978443,-44.84660213135972,1.637183715271622,619,1523.916216349524,94.11140361713059,-28.818971738738586,2.1227561138469055,220,,2026-04-04,0,compat_score_jump,28.320981713185756,3.0,custom_screen|sector_top_company|seed_peer,,,1.0637751686145962,0.3460669853381815,1.1131462925761366,1.3732581362912635,9.25,10.228447335604365,high,8.0,392.0,192.0,0.4897959183673469,0.9534416642196067,1.7130449668076528,0.9789858135183643,0.4229332152099993,0.6892194724890501,-0.007354965268572489,0.16214459246048474,0.0,0.0,persistent_leader,1.0,3166.0,8.0,392.0,192.0,18061.722748902022,-65.66874427069001,8.0,2.0,46013.830649290394,,55.15339786864028,1522.2026008233038,,71.18102826126142,watch
FIX,43246.83299226041,71.9159103890527,-44.92230375902515,1.642158325710971,626,1498.6173286524318,93.3875266630227,-28.81087502934071,2.119064450525132,223,,2026-03-24,1,cached_no_positive_variation,24.165543792107794,3.0,sector_top_company|seed_peer,,,1.7009422052906589,0.5184883313562474,0.6985963735901901,3.294514973958333,9.35,9.976582389904214,high,6.0,814.0,115.0,0.14127764127764128,1.4776325379532496,2.9009191191969084,0.896157799694995,0.3418501146826278,0.5819510835582058,-0.036344770106751745,-0.00922137014746871,0.0,0.0,persistent_leader,1.0,3166.0,6.0,814.0,115.0,213.15238182548487,0.0,4.0,0.0,43235.97982181666,,55.07769624097485,1496.9037131262116,,71.1891249706593,watch
KEYS,36419.62999730311,69.30665059783314,-44.84660213135972,1.6087913606635529,617,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,new_candidate,42.1655437921078,6.0,sector_top_company|seed_peer,,,0.7360988184331737,0.433338189551721,0.6824955515033917,0.9410823998036819,5.923,7.327229130727212,medium,16.0,213.0,47.0,0.22065727699530516,0.6481490723731501,1.2759232153056634,0.7990779332124693,0.30737515634071083,0.48708053174901145,-0.07032272337563572,-0.032168093717316104,0.0,1.0,fringe,1.0,2960.0,16.0,213.0,47.0,653.2138483457948,0.0,1.0,0.0,36408.776826859365,,55.15339786864028,1496.9037131262116,,71.1891249706593,watch
GLW,35414.85340429065,68.8856630793522,-44.84660213135972,1.603499595410558,615,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,new_candidate,52.96871992300289,7.0,custom_screen|sector_top_company|seed_peer,,,1.3489628144188948,0.6893558964521398,0.7795956843255507,2.248133403495616,6.808,8.17394665201583,medium,7.0,46.0,0.0,0.0,1.188176042962178,1.8893270300748972,0.7772059896534642,0.4411217637062543,0.7309731771168657,-0.07797790362128754,0.021264857145325333,0.0,1.0,emerging_leader,1.0,3166.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,35404.0002338469,,55.15339786864028,1496.9037131262116,,71.1891249706593,watch
CIEN,35258.67158631923,68.8192531526902,-44.45099829792593,1.6044440428045077,610,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,relative_score_jump,58.441289701636194,8.0,predefined_screen|sector_top_company|seed_peer,,,3.4737712550712767,0.9145680040796236,1.9512259831469434,6.275918152491436,10.95,11.207720341207217,high,4.0,361.0,168.0,0.46537396121883656,3.0907610526122475,4.23370035006777,1.0,0.8580772999806362,1.419385755030345,0.0,0.3033329229382935,1.0,0.0,persistent_leader,1.0,3166.0,4.0,361.0,168.0,1577.7518583536712,0.0,2.0,0.0,35247.81841587548,,55.54900170207407,1496.9037131262116,,71.1891249706593,watch
IRDM,29618.927907928453,66.22174836932926,-50.28636544634841,1.5717955233332692,615,1444.504341801046,91.80938697857192,-28.792642311132532,2.1014206859071543,225,,2026-04-04,0,new_candidate,24.354667949951878,3.0,custom_screen|predefined_screen|sector_top_company,,,0.6043733219517347,0.890679067725695,0.8628118904377386,0.20278188057875046,5.425,6.922384869034316,low,32.0,355.0,205.0,0.5774647887323944,0.564165713163899,0.8177537329865132,1.0,0.326950133836536,0.4617467538712625,0.0,0.34067728696429556,0.0,0.0,fringe,1.0,3166.0,32.0,355.0,205.0,82.09875165679114,-6.1869390525345125,4.0,1.0,29608.0747374847,,49.71363455365159,1442.7907262748258,,71.20735768886746,watch
