name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,candidate,removed,candidate_recent_score,candidate_scan_fit,candidate_scan_compat,candidate_hist_reco,removed_latest_rank,removed_latest_score,removed_days_top15,removed_realized_pnl_eur,removed_buy_count,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,recommendation,reco_priority,phase1_score,phase1_pass
AXTI_for_AXON,90730.78366698955,83.6479066503968,-43.93630311572697,1.7481440844271605,610,3195.6424816023264,129.7156750784871,-31.198874839758318,2.3713587762114137,226,AXTI,AXON,17.675721011260535,high,11.0,watch,173.0,-0.33196078130347906,0,0.0,0,90719.9304965458,,56.06369688427303,3193.9288660761063,,68.80112516024168,reject,0,,False
AXTI_for_UEC,52927.99066027485,75.03650683206078,-46.246753470675074,1.667329665752823,612,2587.0240642799245,118.8225832016232,-28.811840947275357,2.3192947203350696,223,AXTI,UEC,17.675721011260535,high,11.0,watch,15.0,0.8492037380611547,0,0.0,0,52917.137489831104,,53.753246529324926,2585.3104487537043,,71.18815905272464,reject,0,,False
AXTI_for_NET,68523.60992020737,79.11025067145592,-44.82367157144107,1.7003400152337425,621,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,NET,17.675721011260535,high,11.0,watch,54.0,0.39990953944604946,0,0.0,0,68512.75674976362,,55.17632842855893,2580.3124161357746,,71.1891249706593,reject,0,,False
AXTI_for_RACE,67295.62098233122,78.8218773977097,-44.95824784334974,1.7031786009516596,623,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,RACE,17.675721011260535,high,11.0,watch,161.0,-0.22312259990579808,0,0.0,0,67284.76781188748,,55.04175215665026,2580.3124161357746,,71.1891249706593,reject,0,,False
AXTI_for_ZS,65921.50889809374,78.49346016432604,-44.82367157144107,1.6993395067097412,628,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,ZS,17.675721011260535,high,11.0,watch,180.0,-0.4103200198470319,0,0.0,0,65910.65572765,,55.17632842855893,2580.3124161357746,,71.1891249706593,reject,0,,False
AXTI_for_WPM,55483.582970985015,75.77324833750112,-44.90188749149186,1.6716857451626663,624,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,WPM,17.675721011260535,high,11.0,watch,51.0,0.4139548769824488,0,0.0,0,55472.72980054127,,55.09811250850814,2580.3124161357746,,71.1891249706593,reject,0,,False
FIEE_for_AXON,66089.83615944913,78.53402372739725,-44.0907392709086,1.6608564479958694,623,2297.7159926321683,112.97074535423319,-31.198874839758318,2.1652663659856457,235,FIEE,AXON,5.20097142312751,high,10.933333333333334,watch,173.0,-0.33196078130347906,0,0.0,0,66078.98298900538,,55.9092607290914,2296.002377105948,,68.80112516024168,reject,0,,False
AAOI_for_AXON,65672.49316997708,78.43327919068584,-43.914919783222025,1.6752537247616626,609,2271.469007643176,112.4136842649237,-35.83142102118935,2.1791607644229485,228,AAOI,AXON,3.813054275552669,high,10.975,watch,173.0,-0.33196078130347906,0,0.0,0,65661.63999953333,,56.085080216777975,2269.755392116956,,64.16857897881064,reject,0,,False
FIEE_for_UEC,46239.270264301376,72.94309832840979,-44.946929045647586,1.6100831022898476,622,1856.07983955048,102.90030590170124,-30.115944543596342,2.109454538098895,232,FIEE,UEC,5.20097142312751,high,10.933333333333334,watch,15.0,0.8492037380611547,0,0.0,0,46228.41709385763,,55.053070954352414,1854.36622402426,,69.88405545640366,reject,0,,False
FIEE_for_RACE,31233.13727401969,67.00816445451343,-44.70918939434261,1.6295740072504226,631,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,RACE,5.20097142312751,high,10.933333333333334,watch,161.0,-0.22312259990579808,0,0.0,0,31222.284103575937,,55.29081060565739,1850.7398510391154,,69.89204994401422,reject,0,,False
FIEE_for_NET,30942.588128818617,66.86937936856275,-44.52174197432581,1.6234961559200953,631,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,NET,5.20097142312751,high,10.933333333333334,watch,54.0,0.39990953944604946,0,0.0,0,30931.734958374866,,55.47825802567419,1850.7398510391154,,69.89204994401422,reject,0,,False
FIEE_for_ZS,30549.864964952445,66.67989701045651,-44.52174197432581,1.6282024712619714,634,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,ZS,5.20097142312751,high,10.933333333333334,watch,180.0,-0.4103200198470319,0,0.0,0,30539.011794508693,,55.47825802567419,1850.7398510391154,,69.89204994401422,reject,0,,False
FIEE_for_WPM,29135.60276140368,65.97870680002558,-44.58661134469488,1.6151317189208494,628,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,WPM,5.20097142312751,high,10.933333333333334,watch,51.0,0.4139548769824488,0,0.0,0,29124.749590959927,,55.41338865530512,1850.7398510391154,,69.89204994401422,reject,0,,False
AAOI_for_NET,47818.23818348383,73.46097831710566,-44.85320257601231,1.6237392957243553,620,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,AAOI,NET,3.813054275552669,high,10.975,watch,54.0,0.39990953944604946,0,0.0,0,47807.38501304008,,55.14679742398769,1675.6432901239375,,64.22886269700255,reject,0,,False
AAOI_for_ZS,47158.26456658598,73.24643482517625,-44.85320257601231,1.627142345719331,623,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,AAOI,ZS,3.813054275552669,high,10.975,watch,180.0,-0.4103200198470319,0,0.0,0,47147.41139614223,,55.14679742398769,1675.6432901239375,,64.22886269700255,reject,0,,False
AAOI_for_RACE,46290.29494256777,72.96008331200181,-44.94473273924691,1.6210345155790824,623,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,AAOI,RACE,3.813054275552669,high,10.975,watch,161.0,-0.22312259990579808,0,0.0,0,46279.441772124024,,55.05526726075309,1675.6432901239375,,64.22886269700255,reject,0,,False
