ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score
SHOP,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Shopify Inc.,Buy,0.007188363,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
UBER,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Uber Technologies, Inc.",Buy,0.0069862483,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
QCOM,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,QUALCOMM Incorporated,Hold,0.0066595385,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
PANW,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Palo Alto Networks, Inc.",Buy,0.006093526,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
INTU,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Intuit Inc.,Buy,0.005748007,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
NOW,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"ServiceNow, Inc.",Strong Buy,0.0052298745,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
CRWD,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"CrowdStrike Holdings, Inc.",Buy,0.0047277524,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
ADBE,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Adobe Inc.,Buy,0.004697893,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
MRVL,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Marvell Technology, Inc.",Strong Buy,0.0040703053,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
CDNS,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Cadence Design Systems, Inc.",Strong Buy,0.0037020103,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
NET,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Cloudflare, Inc.",Buy,0.0034876282,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
