ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
MPWR,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0025624307,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,0.5047112365986377,0.23404608357741075,0.22123226680361108,0.9235227829042776,3166,27.0,0.6193874878500942,196.0,0.0,0,0,0.0,0.6859999999999999,1.0,0.0,0.41264140071803673,1.0159972201630276,0.7368632413549574,0.12335878576962693,0.21476443248509147,-0.09209786552576493,0.017715756180155084,0,1.0,0.2831384082686341,0.24473217507618727,0.6453021225845874,4.558,5.80533321627475,0.775,4.825,6.111863241354958,low,fringe
PSTG,"{'WDC', 'SNDK'}",industry_top_growth,,,"Everpure, Inc.",,,technology,computer-hardware,,,,,2,1,SNDK|WDC,0,0,0,new,-0.0676,0.14084507042253536,,,,,,,,,,,17.5,2638,0.028741445031227095,-0.06760188702553249,-0.2708601031379434,0.37651465922877736,2712,115.0,0.05224321256740383,251.0,44.0,0,0,0.0,0.832,1.0,0.1752988047808765,-0.03786812280995906,0.04694091683146837,0.0,0.0,-0.10976111936255395,-0.1784352789609498,0.018252915918254065,0,1.0,-0.03050960051145668,-0.25682942186632784,0.17741391509715854,4.146,4.333198804780876,0.375,2.775,2.8125,weak,fringe
GWW,{'BE'},seed_peer,BE,,"W.W. Grainger, Inc.",Hold,0.007959377,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.1446321987039136,0.10742774361060414,0.18373935505495242,0.12412726989952949,3166,94.0,0.15158215153618254,151.0,46.0,0,0,0.0,0.6665,1.0,0.304635761589404,0.09751657295712021,0.512005623379612,0.797987186843579,0.06182758395120732,0.08697483275986273,-0.07070448460474732,-0.027001385176990578,0,1.0,0.15148298845510522,0.2065177953390751,-0.03846785717382717,3.8994999999999997,5.156824624066276,0.45,3.25,4.410487186843579,low,fringe
INTC,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,Intel Corporation,Hold,0.011798549,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,0.7476976102014952,0.3653116256047433,0.40178082896962297,1.284807383731743,3166,16.0,0.8203646619178946,45.0,0.0,0,0,0.15,0.1575,1.0,0.0,0.637159211139064,0.9408549329586214,0.7927625368796375,0.2849978449513048,0.48406821725439086,-0.07253311209212687,0.10530932523548509,0,0.0,0.4196259032649303,0.4287549941587412,0.9543300820564535,3.8225000000000002,5.153156229098566,0.825,5.675,6.505262536879638,low,fringe
URI,{'BE'},seed_peer,BE,,"United Rentals, Inc.",Buy,0.006934452,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,-0.05161718818876347,-0.09542576455522023,-0.2397187306852523,0.15838864249095375,3166,131.0,-0.033398081029459376,241.0,19.0,0,0,0.0,0.7569999999999999,1.0,0.07883817427385892,-0.10558842872722848,-0.108841459053099,0.19352948699010852,0.0,-0.1338680638788502,-0.23422347111726616,-0.14061837035818492,0,0.0,-0.05944035634012701,-0.2250888027215756,-0.009162090926432054,3.721,3.6428558664679245,0.25,2.2,2.156029486990109,weak,fringe
CSX,{'BE'},seed_peer,BE,,CSX Corporation,Buy,0.011527607,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.25666485310577086,0.1371034819504311,0.17771432059151793,0.3953960711976936,3166,71.0,0.2770825053824205,141.0,0.0,0,0,0.0,0.49349999999999994,1.0,0.0,0.19404430271814577,1.0820932539058008,0.8709423190078246,0.09234873668274712,0.15167305128048536,-0.045170188347261386,-0.03646558212032258,0,0.0,0.18233927507543668,0.20037682244109511,0.19356429681655096,3.6804999999999994,4.763674633414342,0.6,4.0,5.120942319007824,weak,fringe
FDX,{'BE'},seed_peer,BE,,FedEx Corporation,Buy,0.012973796,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.45201812858791385,0.25192142637092463,0.5096222094586147,0.4944623988257075,3166,41.0,0.52954318777027,63.0,0.0,0,0,0.0,0.22049999999999997,1.0,0.0,0.38713420977990515,1.6951278028279886,0.8025270258870498,0.20229073697987068,0.3280424570169016,-0.06911554093953254,-0.058475856359767486,0,1.0,0.3017248607557521,0.5386715429988873,0.2783015510729996,3.1115,4.880490657720152,0.7,4.55,6.01502702588705,weak,fringe
WCN,{'BE'},seed_peer,BE,,"Waste Connections, Inc.",Strong Buy,0.006383429,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,-0.09317347842476445,-0.052919700883880316,-0.051621708189766635,-0.15485213743020432,3166,141.0,-0.08124865723782819,120.0,6.0,0,0,0.0,0.438,1.0,0.05,-0.12723571300586267,-0.3462824878330492,0.5160219249936504,0.0,-0.057028723378293567,-0.04088705059668418,-0.0221384514125611,0,0.0,-0.015243333549132543,-0.033372269920685094,-0.2770953458194053,2.664,2.8857131549961905,0.175,1.875,2.0535219249936505,weak,fringe
DAL,{'BE'},seed_peer,BE,,"Delta Air Lines, Inc.",Strong Buy,0.00655596,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.29782866563081944,-0.038040336190252044,0.18980576385725656,0.5737860683149181,3166,65.0,0.32272362782717845,35.0,0.0,0,0,0.0,0.12249999999999998,1.0,0.0,0.22358666635281976,0.657437277218072,0.6742820547220485,0.05533725376158216,0.10322825214922005,-0.114001280847283,0.0459031837870052,0,1.0,0.00022795604297387584,0.2127009387333756,0.3461517491271868,2.6174999999999997,4.009771585090178,0.625,4.125,5.149282054722048,weak,fringe
WAB,{'BE'},seed_peer,BE,,Westinghouse Air Brake Technologies Corporation,Strong Buy,0.0065266006,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.30241346433733424,0.1895526225923443,0.2787570849318841,0.3825002646152793,3166,63.0,0.34074450695088576,27.0,0.0,0,0,0.0,0.0945,1.0,0.0,0.2417340597122366,1.256497170049291,0.8827059103805752,0.12295429787095398,0.19008937542783633,-0.04105293136679866,-0.02638139751288593,0,0.0,0.23687492632374818,0.30336393083308133,0.1825337552856361,2.5835,4.076296124950917,0.65,4.25,5.432705910380576,weak,fringe
