name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,candidate_status,tested_as_of,test_reused,retest_reason,priority_score,source_count,source_types,sector,industry,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_algo_fit,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,backtestable_now,bars,latest_rank_if_added,days_top15_trend_if_added,days_top5_trend_if_added,full_realized_pnl_if_added,oos_realized_pnl_if_added,full_buy_count_if_added,oos_buy_count_if_added,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,recommendation
FIEE,30549.864964952445,66.67989701045651,-44.52174197432581,1.6282024712619714,634,1852.453466565336,102.8107369596098,-30.10795005598579,2.1067513734436254,235,,2026-03-24,1,cached_no_positive_variation,11.5,1.0,industry_top_performing,,,5.20097142312751,1.2118379502360268,1.5631768785275408,10.83333270417322,10.933333333333334,12.04484392867316,high,4.0,926.0,631.0,0.6814254859611231,4.5536635576019915,3.965952198859487,0.9141294840477826,0.6304568093611688,0.9856100236643155,-0.030054680583276094,0.09230767763577985,0.0,0.0,persistent_leader,1.0,3166.0,4.0,926.0,631.0,791461.5684976343,23040.424006381803,22.0,9.0,30539.011794508693,,55.47825802567419,1850.739851039116,,69.89204994401422,watch
AAOI,41893.29560385655,71.42991366295604,-44.85320257601231,1.6042271080146737,616,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,,2026-04-04,0,recent_score_jump,11.5,1.0,industry_top_growth|industry_top_performing,,,3.813054275552669,1.980780316775257,2.6562281274863233,5.88601740300772,11.0,12.16642939219395,high,3.0,766.0,471.0,0.6148825065274152,3.466511966688655,2.078182092094195,0.48035592055533827,1.0,1.79389244674987,-0.1818754278056316,0.042122200543583954,0.0,1.0,persistent_leader,1.0,3166.0,3.0,766.0,471.0,-234052.8416518935,-4433.461184524874,14.0,9.0,41882.442433412805,,55.14679742398769,1675.6432901239375,,64.22886269700255,watch
STX,37426.47958387945,69.71805480925102,-44.84660213135972,1.6123635964117695,607,1588.9857831762035,95.93454199424694,-28.81087502934071,2.1423985052705636,215,,2026-04-04,0,new_candidate,40.0,5.0,industry_top_growth|industry_top_performing|sector_top_company|seed_peer,,,2.012012070739859,0.5590978703410248,0.6717021938697973,4.078779047809338,10.416666666666666,10.126657256475903,high,5.0,242.0,50.0,0.2066115702479339,1.743443736878509,2.386333286078019,0.8898907437938461,0.4157409554749947,0.708254807653572,-0.03853823967215386,0.1449293996709724,1.0,0.0,persistent_leader,1.0,3166.0,5.0,242.0,50.0,0.0,0.0,0.0,0.0,37415.626413435704,,55.15339786864028,1587.2721676499834,,71.1891249706593,watch
WATT,52565.52742665441,74.92940632635403,-45.153826621766555,1.3454432955209465,615,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,new_candidate,11.5,1.0,industry_top_performing,,,1.3248555375742361,2.9448620885957464,1.017948639259616,0.8217591603781009,9.133333333333333,9.559279876834843,high,8.0,397.0,110.0,0.2770780856423174,1.2663739216326377,1.1275491994144928,0.532412331311704,0.5240350984536151,0.7942749575571753,-0.16365568404090358,0.42701723954423176,0.0,0.0,persistent_leader,1.0,3105.0,8.0,397.0,110.0,438.3084639943886,0.0,3.0,0.0,52554.67425621066,,54.846173378233445,1496.9037131262116,,71.1891249706593,watch
TER,42741.820913614596,71.73622030201308,-44.87632865458357,1.6357910054502522,615,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,new_candidate,37.5,5.0,sector_top_company|seed_peer,,,1.6966309393696526,0.5995556378214901,1.1939483848086812,2.7478511447047054,8.832,9.826611691511134,high,6.0,330.0,48.0,0.14545454545454545,1.5094070968645723,2.467622902449437,0.7232198382896748,0.46737540513797243,0.7901337902292751,-0.09687305659861378,0.014449452713454658,0.0,1.0,persistent_leader,1.0,3166.0,6.0,330.0,48.0,408.0619402920074,0.0,2.0,0.0,42730.96774317085,,55.12367134541643,1496.9037131262116,,71.1891249706593,watch
FIX,38397.68420203256,70.10547696656286,-44.92230375902515,1.618394731221027,619,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,new_candidate,25.5,3.0,sector_top_company|seed_peer,,,1.7009422052906589,0.5184883313562474,0.6985963735901901,3.294514973958333,9.266666666666666,9.865749056570882,high,6.0,814.0,115.0,0.14127764127764128,1.4776325379532496,2.9009191191969084,0.896157799694995,0.3418501146826278,0.5819510835582058,-0.036344770106751745,-0.00922137014746871,0.0,0.0,persistent_leader,1.0,3166.0,6.0,814.0,115.0,213.15238182548495,0.0,4.0,0.0,38386.83103158881,,55.07769624097485,1496.9037131262116,,71.1891249706593,watch
CIEN,35258.67158631923,68.8192531526902,-44.45099829792593,1.6044440428045077,610,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-04,0,relative_score_jump,37.5,5.0,sector_top_company|seed_peer,,,3.4737712550712767,0.9145680040796236,1.9512259831469434,6.275918152491436,10.966666666666667,11.221887007873887,high,4.0,361.0,168.0,0.46537396121883656,3.0907610526122475,4.23370035006777,1.0,0.8580772999806362,1.419385755030345,0.0,0.3033329229382935,1.0,0.0,persistent_leader,1.0,3166.0,4.0,361.0,168.0,1577.7518583536712,0.0,2.0,0.0,35247.81841587548,,55.54900170207407,1496.9037131262116,,71.1891249706593,watch
POWL,35613.821978413616,68.9698821164313,-44.84660213135972,1.5967772828393876,623,1390.481428397188,90.19126755696811,-29.303828945220246,2.0565071684072147,234,,2026-03-28,1,cached_no_positive_variation,17.5,2.0,industry_top_growth|industry_top_performing,,,1.2802564280389543,0.7184578695536754,0.7269087555972222,2.1145033797233257,9.166666666666666,9.887801918194299,high,8.0,608.0,282.0,0.46381578947368424,1.1270270271747889,1.9577819049604193,0.7827143820987392,0.36837361021339604,0.6244045949435966,-0.07604996626544125,0.0680847392478332,0.0,0.0,persistent_leader,1.0,3166.0,8.0,608.0,282.0,5061.224236074224,-27.30186964232246,7.0,7.0,35602.96880796987,,55.15339786864028,1388.767812870968,,70.69617105477975,watch
AMPX,33562.57859152105,68.08032446246955,-44.87632865458357,1.5890522826807572,618,1208.9119926601445,84.40236048403426,-28.81087502934071,1.9923307420107288,221,,2026-03-24,1,cached_no_positive_variation,17.5,2.0,industry_top_performing,,,2.4177583780762086,1.0278834310204878,0.3289036586954861,5.201550570984791,10.9,11.299639884070972,high,5.0,277.0,144.0,0.51985559566787,2.085321680612189,2.17271964279978,0.5016955171554741,0.35072274129414155,0.6326379118417784,-0.17440656899558404,0.2749003790304423,0.0,0.0,persistent_leader,1.0,916.0,5.0,277.0,144.0,386013.8672626152,6878.991057421674,6.0,6.0,33551.7254210773,,55.12367134541643,1207.1983771339242,,71.1891249706593,watch
baseline_184,10.853170443750916,0.923713071252652,-100.0,,22,1.7136155262200525,0.40511533083937845,-100.0,,12,baseline,2026-04-04,0,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
