name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,candidate_status,tested_as_of,test_reused,retest_reason,priority_score,source_count,source_types,sector,industry,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_algo_fit,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,backtestable_now,bars,latest_rank_if_added,days_top15_trend_if_added,days_top5_trend_if_added,full_realized_pnl_if_added,oos_realized_pnl_if_added,full_buy_count_if_added,oos_buy_count_if_added,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,recommendation
STX,37426.47958387945,69.71805480925102,-44.84660213135972,1.6123635964117695,607,1588.9857831762035,95.93454199424694,-28.81087502934071,2.1423985052705636,215,,2026-04-11,0,recent_score_jump,26.5,3.0,industry_top_growth|industry_top_performing|seed_peer,,,3.2753028712584076,0.7686575130024493,1.2426119509471603,6.5613164706976335,10.545,10.479695203939116,high,5.0,247.0,55.0,0.22267206477732793,2.4576400797643347,4.215584444985402,1.0,0.5608718986029816,0.9359307258768479,0.0,0.3035469163188038,1.0,0.0,persistent_leader,1.0,3171.0,5.0,247.0,55.0,0.0,0.0,0.0,0.0,37415.626413435704,,55.15339786864028,1587.2721676499834,,71.1891249706593,watch
FIX,43246.83299226041,71.9159103890527,-44.92230375902515,1.642158325710971,626,1498.6173286524318,93.3875266630227,-28.81087502934071,2.119064450525132,223,,2026-03-24,1,cached_no_positive_variation,12.0,1.0,seed_peer,,,2.1229922374035968,0.6395845369812148,0.8858658035905396,4.101822521427844,9.3,9.212706028415596,medium,6.0,819.0,115.0,0.14041514041514042,1.5712199915992366,3.7363064056487447,1.0,0.4371514800007632,0.7322334216532016,0.0,0.13182504804287354,1.0,0.0,persistent_leader,1.0,3171.0,6.0,819.0,115.0,213.15238182548487,0.0,4.0,0.0,43235.97982181666,,55.07769624097485,1496.9037131262116,,71.1891249706593,watch
TER,42741.820913614596,71.73622030201308,-44.87632865458357,1.6357910054502522,615,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-11,0,recent_score_jump,24.0,3.0,seed_peer,,,2.5241171698513094,0.7012158216806155,1.5448822593474851,4.41480275444048,8.882,9.033638020407867,medium,6.0,335.0,48.0,0.14328358208955225,1.9363491590003759,3.6415312038258065,1.0,0.6350907305305259,1.0558705639946924,0.0,0.21855029018934458,1.0,0.0,persistent_leader,1.0,3171.0,6.0,335.0,48.0,408.0619402920074,0.0,2.0,0.0,42730.96774317085,,55.12367134541643,1496.9037131262116,,71.1891249706593,watch
CIEN,35258.67158631923,68.8192531526902,-44.45099829792593,1.6044440428045077,610,1498.6173286524318,93.3875266630227,-28.81087502934071,2.1190644505251313,223,,2026-04-11,0,recent_score_jump,24.0,3.0,seed_peer,,,4.355368299032087,1.2024775730497312,2.1067266543686527,8.1804553066867,11.0,11.337275957552425,high,4.0,366.0,173.0,0.4726775956284153,3.3613435441156145,5.752907340445007,1.0,0.9409972698733521,1.5572210870551286,0.0,0.45909684130734263,1.0,0.0,persistent_leader,1.0,3171.0,4.0,366.0,173.0,1577.7518583536712,0.0,2.0,0.0,35247.81841587548,,55.54900170207407,1496.9037131262116,,71.1891249706593,watch
COHR,36323.188706006695,69.26670379900956,-44.87632865458357,1.6066728900900225,615,1487.4160450573597,93.06423366777787,-31.643880665758893,2.1090467363028607,225,,2026-04-11,0,new_candidate,24.0,3.0,seed_peer,,,2.80290078020185,0.7759168977149091,1.6356390231079043,4.983654478539266,10.459,10.232713496111039,high,5.0,530.0,51.0,0.09622641509433963,2.153737291957109,3.36045659467397,1.0,0.6081451350278342,1.0036631644653253,0.0,0.22310168855999302,1.0,0.0,persistent_leader,1.0,3171.0,5.0,530.0,51.0,21263.408075653802,402.676643871313,1.0,1.0,36312.33553556295,,55.12367134541643,1485.7024295311396,,68.3561193342411,watch
baseline_184,10.853170443750916,0.923713071252652,-100.0,,22,1.7136155262200525,0.40511533083937845,-100.0,,12,baseline,2026-04-11,0,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
