name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,members,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,tested_as_of,test_reused,retest_reason
AAOI+SATS,47316.79705551525,73.29821824957124,-44.83610076685641,1.6329145500773514,611,1941.08141309687,104.96442649236872,-33.145571984338154,2.1616934199707476,223,"AAOI,SATS",47305.9438850715,,55.16389923314359,1939.3677975706498,,66.85442801566185,2026-04-11,0,member_retested_or_new
SATS+STX,42509.77172805015,71.65300636080887,-44.84660213135972,1.6423656979643457,607,1817.4695912551147,101.94008150089059,-28.81087502934071,2.235940591963423,215,"SATS,STX",42498.918557606405,,55.15339786864028,1815.7559757288946,,71.1891249706593,2026-04-11,0,member_retested_or_new
AAOI+STX,43984.24720223902,72.17489706696638,-44.85320257601231,1.6120789181131345,608,1765.6699992760264,100.62842167883738,-35.771137302997445,2.091506904862391,219,"AAOI,STX",43973.39403179527,,55.14679742398769,1763.9563837498063,,64.22886269700255,2026-04-11,0,member_retested_or_new
AA+SATS,52358.15627711414,74.86783008482129,-44.84660213135972,1.6671027103838263,618,1746.2639423012472,100.12987576191938,-28.818971738738586,2.215938226957773,219,"AA,SATS",52347.30310667039,,55.15339786864028,1744.550326775027,,71.18102826126142,2026-04-11,0,member_retested_or_new
