name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,members,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,tested_as_of,test_reused,retest_reason
AAOI+FIEE,46655.98385617394,73.08131748092934,-44.89400610483105,1.5927687100433277,634,1962.843573297891,105.48232552219004,-35.74309468138127,2.059299625363288,239,"AAOI,FIEE",46645.13068573019,,55.10599389516895,1961.129957771671,,64.25690531861872,2026-03-24,0,member_retested_or_new
CIEN+FIEE,29466.028879083588,66.1452543369853,-44.093633371120966,1.622969016328008,633,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,"CIEN,FIEE",29455.175708639836,,55.906366628879034,1850.7398510391154,,69.89204994401422,2026-03-24,0,member_retested_or_new
AAOI+CIEN,45418.49007250637,72.66751177229875,-44.42769102262191,1.6218684928580762,622,1677.3569056501576,98.32672067377659,-35.771137302997445,2.0711486913971187,227,"AAOI,CIEN",45407.63690206262,,55.57230897737809,1675.6432901239375,,64.22886269700255,2026-03-24,0,member_retested_or_new
