ticker
AAPL
ABBV
ABT
ADBE
AEM
AIR.PA
ALB
AMAT
AMD
AMZN
ANET
AON
APD
APH
APP
ASML
ATO.PA
AVAV
AVGO
AXON
BA
BA.L
BE
BHP
BKNG
BNP.PA
BP
BSX
BWXT
BX
CAP.PA
CARR
CAT
CCJ
CDNS
CEG
CMG
COP
COST
CRM
CRWD
CVX
DASH
DBC
DDOG
DE
DG.PA
DHR
DNN
DSY.PA
DVN
ENI.MI
EOG
EQNR
ETN
FAST
FCX
FER
FNV
GE
GILD
GLD
GOLD
GOOGL
HAG.DE
HAL
HEI
HII
HO.PA
HWM
INTU
ISRG
ITA
KER.PA
KKR
KLAC
KO
KTOS
LDO.MI
LEU
LHX
LITE
LLY
LNG
LOW
LRCX
LULU
MA
MARA
MC.PA
MCK
MELI
META
MPC
MRK
MRVL
MS
MSFT
MSTR
MTD
MU
NEM
NET
NFLX
NKE
NOC
NOW
NVDA
NVO
NXE
NXPI
ORCL
OXY
PAAS
PANW
PFE
PG
PH
PLTR
PM
PWR
QCOM
QQQ
RACE
REGN
REMX
RHM.DE
RI.PA
RIOT
RKLB
RMS.PA
RTX
SAAB-B.ST
SAF.PA
SAN.PA
SBUX
SCCO
SCHW
SGO.PA
SHOP
SLB
SLV
SMCI
SNDK
SPGI
SPOT
SPY
SQM
STMPA.PA
TDG
TDY
TECK
TJX
TMO
TMUS
TSLA
TSM
TT
TTE.PA
UBER
UEC
URA
VALE
VIE.PA
VLO
VRT
VRTX
WDAY
WDC
WELL
WLN.PA
WM
WMB
WMT
WPM
XAR
XLE
XLP
XLU
XLV
XME
XOM
ZS
ZTS
