ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
ADSK,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Autodesk, Inc.",Strong Buy,0.002475828,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52457279488.0,,,,,,,,24.0,targeted_current,-0.2018773139122281,-0.2162548655753975,-0.2700694093419629,-0.1264964426509087,weak,2.0215,2.3536520990581566,153.0,83.0,0.0,0.0,-0.2094924190077736,-0.5225556786340564,0.2034201650969274,0.0,-0.1835173079063344,-0.1977943911603629,-0.0414446766330696,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.5864,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5864,review_queue,1,2026-03-31
CTAS,{'BE'},seed_peer,BE,,Cintas Corporation,Buy,0.010666768,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,72489787392.0,,,,,,,,12.0,targeted_current,-0.1661065603408358,-0.1176101067245085,-0.1742068197909716,-0.1822545276988636,weak,1.83,2.2577284744097064,151.0,60.0,0.0,0.0,-0.1677991623206952,-0.7761966308382188,0.2595474573495107,0.0,-0.1638513339091052,-0.1753776723770184,-0.1614378781506102,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.5341,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5341,review_queue,1,2026-03-31
UPS,{'BE'},seed_peer,BE,,"United Parcel Service, Inc.",Buy,0.012746201,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,82940256256.0,,,,,,,,12.0,targeted_current,-0.0153336186935737,-0.0555998002425106,0.134137548540336,-0.144671695153015,weak,1.75,2.389642813546317,118.0,0.0,0.0,0.0,-0.0115992641430524,-0.0559903623245063,0.403571355910528,0.0,-0.0237900411806734,-0.2087500254313151,-0.1811831864617853,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.4835,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4835,review_queue,1,2026-03-31
RSG,{'BE'},seed_peer,BE,,"Republic Services, Inc.",Buy,0.0108493185,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,67088621568.0,,,,,,,,12.0,targeted_current,-0.0338352787899541,0.0389464205312921,-0.028614056553065,-0.0754473506874664,weak,1.5,2.2332714748556914,126.0,0.0,0.0,0.0,-0.0342733954956928,-0.1937287803319808,0.5971191247594858,0.0,-0.0238655847120183,-0.0455935394234428,-0.0319650974856714,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.4339,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4339,review_queue,1,2026-03-31
SNPS,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Synopsys, Inc.",Buy,0.0036368784,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,82846752768.0,,,,,,,,24.0,targeted_current,-0.1817515103218102,-0.1970071616593722,-0.2144907188423642,-0.1413844761324751,weak,2.476,2.3124,148.0,112.0,0.0,0.0,-0.1873497059576131,-0.4208032079759793,0.0,0.0,-0.2156064720542234,-0.2817291685284133,-0.074541027419233,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,3.2843,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2843,review_queue,1,2026-03-31
VRT,{'BE'},industry_top_growth|industry_top_performing|seed_peer,BE,,Vertiv Holdings Co,Strong Buy,0.014167502,industrials,electrical-equipment-parts,,,,,1,3,BE,1,0,0,active,0.4457,0.519774011299435,234.22,271.25,,,,,,,,,14.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.8,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,review_queue,1,2026-03-31
SNOW,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Snowflake Inc.,Strong Buy,0.0026057393,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,59611238400.0,,,,,,,,24.0,targeted_current,-0.1975263798049702,-0.3136055260969724,-0.3159277128451304,-0.0210854736188088,weak,1.25,1.4025,149.0,0.0,0.0,0.0,-0.2121346684482055,-0.3548058472003767,0.0,0.0,-0.2819720212924205,-0.3447746600913276,-0.087524524509469,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,2.6019,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6019,review_queue,1,2026-03-31
ACN,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Accenture plc,Buy,0.0060705477,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,124095987712.0,,,,,,,,24.0,targeted_current,-0.2674681906852467,-0.2712752011493314,-0.1733271873346623,-0.3597056888037887,weak,1.1,1.185,168.0,0.0,0.0,0.0,-0.264693085569368,-0.5982300504828966,0.0,0.0,-0.2366589068035548,-0.3153462355255948,-0.0535166639690367,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,2.4388,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4388,review_queue,1,2026-03-31
ADP,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Automatic Data Processing, Inc.",Hold,0.004117881,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,84816945152.0,,,,,,,,24.0,targeted_current,-0.2902384872667289,-0.2061891356524288,-0.295225371480898,-0.3272762788597099,weak,1.05,1.0825,169.0,0.0,0.0,0.0,-0.2898966919228364,-1.0847159492073992,0.0,0.0,-0.249053826338602,-0.22761442859039,-0.0414722866408647,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,2.3619,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3619,review_queue,1,2026-03-31
AAPL,"{'VGT', 'LITE', 'SNDK', 'WDC'}",etf_holding|seed_peer,LITE|SNDK|WDC,VGT,Apple Inc.,Buy,0.17962378,technology,computer-hardware,AAPL,Apple Inc,0.1583723,SNDK,4,2,LITE|SNDK|VGT|WDC,1,0,0,active,,,,,,,,,,,,,32.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
AVGO,"{'VGT', 'LITE', 'SNDK', 'WDC'}",etf_holding|seed_peer,LITE|SNDK|WDC,VGT,Broadcom Inc.,Strong Buy,0.06893373,technology,computer-hardware,AVGO,Broadcom Inc,0.0434203,SNDK,4,2,LITE|SNDK|VGT|WDC,1,0,0,active,,,,,,,,,,,,,32.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
MSFT,"{'VGT', 'LITE', 'SNDK', 'WDC'}",etf_holding|seed_peer,LITE|SNDK|WDC,VGT,Microsoft Corporation,Strong Buy,0.13220128,technology,computer-hardware,MSFT,Microsoft Corp,0.10394,SNDK,4,2,LITE|SNDK|VGT|WDC,1,0,0,active,,,,,,,,,,,,,32.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
NVDA,"{'VGT', 'LITE', 'SNDK', 'WDC'}",etf_holding|seed_peer,LITE|SNDK|WDC,VGT,NVIDIA Corporation,Strong Buy,0.19892468,technology,computer-hardware,NVDA,NVIDIA Corp,0.1806971,SNDK,4,2,LITE|SNDK|VGT|WDC,1,0,0,active,,,,,,,,,,,,,32.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
ANET,"{'LITE', 'SNDK', 'WDC'}",industry_top_growth|seed_peer,LITE|SNDK|WDC,,"Arista Networks, Inc.",Strong Buy,0.007246534,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,1,0,0,active,-0.1137,0.2564841498559078,,,,,,,,,,,26.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
LITE,"{'LITE', 'SNDK', 'WDC'}",industry_top_growth|seed_peer,LITE|SNDK|WDC,,Lumentum Holdings Inc.,Buy,0.0023166589,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,1,0,0,active,0.7765,0.5643564356435644,,,,,,,,,,,26.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
SNDK,"{'LITE', 'SNDK', 'WDC'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Sandisk Corporation,Buy,0.0041872277,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,1,0,0,active,1.4117,,572.5,770.316,,,,,,,,,26.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
WDC,"{'LITE', 'SNDK', 'WDC'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Western Digital Corporation,Buy,0.0042637475,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,1,0,0,active,0.4609,,251.67,321.0,,,,,,,,,26.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
CAT,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,Caterpillar Inc.,Buy,0.04938087,industrials,electrical-equipment-parts,CAT,Caterpillar Inc,0.0639929,BE,2,2,BE|XLI,1,0,0,active,,,,,,,,,,,,,20.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
GE,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,GE Aerospace,Strong Buy,0.045568224,industrials,electrical-equipment-parts,GE,GE Aerospace,0.0664574,BE,2,2,BE|XLI,1,0,0,active,,,,,,,,,,,,,20.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
RTX,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,RTX Corporation,Buy,0.039824713,industrials,electrical-equipment-parts,RTX,RTX Corp,0.0500102,BE,2,2,BE|XLI,1,0,0,active,,,,,,,,,,,,,20.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
AAOI,{'LITE'},industry_top_growth|industry_top_performing,,,"Applied Optoelectronics, Inc.",,,technology,communication-equipment,,,,,1,2,LITE,0,0,0,new,1.4438,0.9285714285714288,85.19,90.3,7438170624.0,,,,,,,,11.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,NGM,NGM,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
POWL,{'BE'},industry_top_growth|industry_top_performing,,,"Powell Industries, Inc.",,,industrials,electrical-equipment-parts,,,,,1,2,BE,0,0,0,new,0.5765,1.9271844660194173,502.56,517.667,6588281856.0,,,,,,,,11.5,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,2.35,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,review_queue,1,2026-03-31
ADBE,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Adobe Inc.,Buy,0.004904856,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
ADI,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Analog Devices, Inc.",Buy,0.007332453,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,1,0,reserve,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
AMAT,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Applied Materials, Inc.",Buy,0.0127067,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
AMD,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Advanced Micro Devices, Inc.",Buy,0.015838118,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
APH,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Amphenol Corporation,Buy,0.007257445,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
CDNS,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Cadence Design Systems, Inc.",Strong Buy,0.0037029847,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
CRM,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Salesforce, Inc.",Buy,0.008590997,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,1,0,0,active,,,,,,,,,,,,,24.0,targeted_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,targeted_current,1,0,0,1.9,discovered,1,,,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,review_queue,1,2026-03-31
