ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Strong Buy,0.0075525036,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.766923087177131,0.5085803919829583,0.7311617249698941,3.4318557969814547,high,9.35,9.997798583940018,6.0,813.0,115.0,0.1414514145141451,1.5337929071660186,3.0092041664113576,0.9181697478694452,0.3549088678403425,0.6022828636800959,-0.0286405882456941,0.0268552750464774,0.0,0.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.7124,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.842,targeted_integration,3,2026-04-02
TER,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Teradyne, Inc.",Buy,0.0022981307,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,50119823360.0,,,,,,,,24.0,targeted_current,1.7366450841586138,0.5874307983612339,1.2682360766597842,2.779661234556133,high,8.932,9.974906080801992,6.0,329.0,48.0,0.1458966565349544,1.5460281622622172,2.522497733865076,0.74480573342943,0.4838766403489656,0.8159369790762467,-0.0893179932996994,0.0262310530350002,0.0,1.0,persistent_leader,watch,42730.96774317085,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,1,1,18.7917,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.7208,targeted_integration,3,2026-04-02
CIEN,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.0027629468,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,57758113792.0,,,,,,,,24.0,targeted_current,3.238734586078958,0.7427001744620647,1.8515824800565728,5.873903897909789,high,11.0,11.93340416299794,4.0,360.0,167.0,0.4638888888888889,2.872466103597266,3.990861161503496,0.8543686351617911,0.7614901550199603,1.2648688172136602,-0.0509709776933731,0.2471552692046701,0.0,0.0,persistent_leader,watch,39586.89704667709,1496.9037131262116,,,55.54900170207407,71.1891249706593,1.0,2,targeted_current,1,1,1,22.5807,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.747,targeted_integration,3,2026-04-02
STX,"{'WDC', 'SNDK', 'LITE'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.004456901,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.5364,4.829457364341085,423.12,483.065,90510729216.0,,,,,,,,26.5,targeted_current,2.0114374625900706,0.5107112803578167,0.7924256523478213,3.980812363948447,high,10.491,10.997836408491402,5.0,241.0,49.0,0.2033195020746888,1.7466160563916011,2.38171981142725,0.8499674546468393,0.4060607227143486,0.6932755086884266,-0.0525113908736062,0.1831553070139058,0.0,0.0,persistent_leader,watch,37415.6264134357,1587.2721676499834,,,55.15339786864028,71.1891249706593,1.0,2,targeted_current,1,1,1,20.6941,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.0464,targeted_integration,3,2026-04-02
GEV,"{'XLI', 'BE'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Strong Buy,0.03638932,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,1.0257645115235037,0.3564671781983359,0.4551634310789136,1.931014258630677,medium,7.859,8.624330794814355,9.0,152.0,7.0,0.0460526315789473,0.8771345970498046,2.23068756125814,0.9105761423726906,0.2422207963529921,0.3991286340842546,-0.0312983501695582,0.0626841203050772,0.0,0.0,persistent_leader,watch,36510.65230594267,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,0,1,15.5084,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.6249,watch_queue,2,2026-04-02
GLW,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.0057507153,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,112481280000.0,,,,,,,,24.0,targeted_current,1.2587785447806323,0.6022957900613184,0.7357065342142495,2.110091932706672,medium,6.7725,8.04691482395991,7.0,45.0,0.0,0.0,1.1039277288316178,1.7654494197584785,0.6785426912134882,0.405482015386359,0.675026633734161,-0.1125100580752791,-0.0351697647476804,0.0,1.0,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,12.2655,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2655,watch_queue,2,2026-04-02
INTC,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,Intel Corporation,Hold,0.011339029,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,219837792256.0,,,,,,,,24.0,targeted_current,0.6761423137205711,0.2876675539332241,0.4315946310437228,1.1149273762910927,low,3.8225,5.054653454180851,25.0,45.0,0.0,0.0,0.5744394387808957,0.85521814883233,0.669156272308791,0.2444328179926276,0.4203048967678608,-0.1157953046919231,0.1143851619423128,0.0,0.0,fringe,watch,36510.65230594267,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,0,1,10.0947,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.2112,review_queue,1,2026-04-02
KEYS,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0023374355,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,49589215232.0,,,,,,,,24.0,targeted_current,0.7182723999727354,0.4069220138165335,0.6569860471754099,0.9352339458481618,medium,5.923,7.328646346070428,20.0,213.0,47.0,0.2206572769953051,0.6297456144935224,1.242046487547589,0.7863094501095147,0.3058389983490248,0.484267143608684,-0.0747916924616698,-0.0419779594378689,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,10.8349,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8349,review_queue,1,2026-04-02
DELL,"{'WDC', 'SNDK', 'LITE'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.0052776975,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.3456,,169.38,170.542,109105217536.0,,,,,,,,26.5,targeted_current,0.4860248577064306,0.3241088751354617,0.1947520616370246,0.858255645061321,low,4.956,5.851895892393991,33.0,270.0,34.0,0.1259259259259259,0.3981122226570435,0.7311334911445996,0.7728385870214249,0.17561135709202,0.2821103398882696,-0.0795064945425012,0.1666897191617524,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.527,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.527,review_queue,1,2026-04-02
MPWR,"{'WDC', 'SNDK', 'LITE'}",seed_peer,LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0025854781,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52868157440.0,,,,,,,,24.0,targeted_current,0.5008494207174763,0.2117089784791133,0.2160127649819017,0.9302562975722324,low,4.558,5.808222405434719,37.0,196.0,0.0,0.0,0.4077758417569211,1.004153648631822,0.7392288744028623,0.1258084679883356,0.2182965837197108,-0.0912698939589982,0.0420153344318907,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.1167,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1167,review_queue,1,2026-04-02
