ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Strong Buy,0.0075149536,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.5917211992610034,0.5332266311143219,0.7654660431268367,2.9472236394685107,high,9.35,9.989910092192304,6.0,807.0,115.0,0.1425030978934324,1.3938703327358246,3.078521076308651,0.8827827818069126,0.375395542024539,0.6345035738972882,-0.0410260263675805,-0.0368615232446428,0.0,0.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.4625,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.5921,targeted_integration,3,2026-03-23
STX,"{'LITE', 'SNDK', 'WDC'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.004200962,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.4678,4.829457364341085,404.22,475.354,90510729216.0,,,,,,,,26.5,targeted_current,1.835782190722346,0.3836300993618899,0.8262441658736552,3.571396261251264,high,8.937000000000001,9.979107941259247,6.0,234.0,43.0,0.1837606837606837,1.6030221167923993,2.319747028842955,0.7277661309685461,0.3956459648623922,0.6800022039991409,-0.0952818541610088,-0.017245984263378,0.0,1.0,persistent_leader,watch,42114.70336236563,1587.2721676499834,,,55.15339786864028,71.1891249706593,1.0,2,targeted_current,1,1,1,19.8116,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1863.127,targeted_integration,3,2026-03-23
COHR,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Coherent Corp.,Buy,0.0022173333,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,47821934592.0,,,,,,,,24.0,targeted_current,1.7103843666518528,0.4516816754985158,1.3377783477350884,2.712341731145285,high,8.95,9.812127687786225,6.0,529.0,50.0,0.0945179584120983,1.5277940091846334,2.257529640396564,0.5810013890772603,0.4733481598796139,0.7878474359717198,-0.1466495138229588,0.0277822728501264,0.0,1.0,persistent_leader,watch,40883.9017857154,1485.7024295311396,,,55.12367134541643,68.3561193342411,1.0,2,targeted_current,1,1,1,18.4796,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.4059,targeted_integration,3,2026-03-23
CIEN,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.0026814912,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,57758113792.0,,,,,,,,24.0,targeted_current,3.056257502622013,0.9376868470198364,1.9507120253862504,5.221088307658864,high,11.0,11.242698464540702,4.0,355.0,165.0,0.4647887323943662,2.742205754519903,4.119161620000151,0.9702916271340316,0.8262245931098633,1.3596765659337753,-0.0103979305030889,0.2189580345277297,1.0,0.0,persistent_leader,watch,39586.89704667709,1496.9037131262116,,,55.54900170207407,71.1891249706593,1.0,2,targeted_current,1,1,1,21.2989,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.6652,targeted_integration,3,2026-03-23
GEV,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Buy,0.03621577,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,0.8908692627205315,0.3810737464636062,0.4148389056912593,1.621797377878266,medium,7.7855,8.605834024160675,10.0,145.0,7.0,0.0482758620689655,0.7630089807774821,2.1749846795098198,1.0,0.2497636034861803,0.413353130080959,0.0,0.063540172729325,0.0,0.0,persistent_leader,,,,,,,,,0,targeted_current,1,0,0,12.8388,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8388,watch_queue,2,2026-03-23
GLW,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.0052181194,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,112481280000.0,,,,,,,,24.0,targeted_current,1.0384589619033515,0.5090354497263894,0.6478758138596452,1.6937538660355391,medium,6.649,7.760346978325213,9.0,38.0,0.0,0.0,0.908650081704593,1.6002133304031614,0.4777428823067281,0.3560020815686273,0.5973109514899584,-0.1827899911926451,-0.060246570928544,0.0,1.0,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,11.6385,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6385,review_queue,1,2026-03-23
KEYS,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0023029598,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,49589215232.0,,,,,,,,24.0,targeted_current,0.6844527026790902,0.4490051465242952,0.6229020770283227,0.8637271064072551,medium,6.004,7.134174713616119,16.0,216.0,56.0,0.2592592592592592,0.5996847639547982,1.2399617608447595,0.7797427618948438,0.3249496620332559,0.5115585508198428,-0.0770900333368046,0.1871561266633656,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,10.4927,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4927,review_queue,1,2026-03-23
DELL,"{'LITE', 'SNDK', 'WDC'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.005065497,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.3089,,164.77,167.87,109105217536.0,,,,,,,,26.5,targeted_current,0.4327240341861192,0.339189817147731,0.2478398995237556,0.6643752773676768,low,4.956,6.017522846486083,33.0,274.0,34.0,0.1240875912408759,0.356294768097002,0.6878937844730579,0.9958410361465228,0.1650510559288222,0.267406328575865,0.0,0.3465282073268521,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.6453,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6453,review_queue,1,2026-03-23
MPWR,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0024524017,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52868157440.0,,,,,,,,24.0,targeted_current,0.4083787729519124,0.1580130806508806,0.1745929468679219,0.7673474451864186,low,4.6,5.737101819702521,39.0,220.0,0.0,0.0,0.324763853641475,0.931226776039944,0.6391319644161908,0.1060377350880095,0.1874264304921593,-0.1263038124543332,-0.1060958413671875,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.8846,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8846,review_queue,1,2026-03-23
FDX,{'BE'},seed_peer,BE,,FedEx Corporation,Buy,0.012698496,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,83945873408.0,,,,,,,,12.0,targeted_current,0.4398723183886038,0.2390986175256273,0.5351455836620145,0.4449859035466814,weak,3.185,4.979911435772357,39.0,70.0,0.0,0.0,0.3762930573462183,1.767718359046013,0.7594285343050772,0.2045905253155187,0.3291704416984307,-0.084200012993223,-0.084200012993223,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,6.6408,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6408,review_queue,1,2026-03-23
