ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"Comfort Systems USA, Inc.",Strong Buy,0.0074169994,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.6799352652748163,0.4505454206233179,0.7198678114602832,3.254697641415098,high,9.370967741935484,10.268004992679638,6.0,813.0,115.0,0.1414514145141451,1.4630105387322645,2.873348456614857,0.8219433647912775,0.3244631364522819,0.5543766705061777,-0.0623198223230528,-0.0411961845048854,0.0,1.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.9362,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.0658,targeted_integration,3,2026-04-01
GEV,"{'XLI', 'SAAB-B.ST'}",etf_holding|seed_peer,SAAB-B.ST,XLI,GE Vernova Inc.,Strong Buy,0.036114756,industrials,aerospace-defense,GEV,GE Vernova Inc,0.0436343,SAAB-B.ST,2,2,SAAB-B.ST|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,0.9953312883822134,0.3156784063924172,0.4489650831243459,1.8815239346349788,medium,7.965451612903226,9.03433925879931,9.0,152.0,7.0,0.0460526315789473,0.8545937221964206,2.1704763449594235,0.8428972679668328,0.222817003206889,0.369469270861364,-0.0549859562116085,-0.0093964551289639,0.0,1.0,persistent_leader,watch,36510.65230594267,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,0,1,15.9368,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0533,watch_queue,2,2026-04-01
RCAT,{'SAAB-B.ST'},industry_top_performing,,,"Red Cat Holdings, Inc.",,,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,0.6507,,13.09,21.75,1835252352.0,,,,,,,,11.5,targeted_current,0.7395299952882628,0.6760563698454041,0.2883858611397609,1.222410942158194,low,5.419354838709678,6.500133330010366,52.0,598.0,411.0,0.6872909698996655,0.640014933574152,0.5801295651935024,0.2972349724099958,0.1542764879895578,0.269282997922774,-0.2459677596565014,-0.0424286701147771,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,9.3979,review,2,NCM,NCM,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3979,review_queue,1,2026-04-01
WWD,{'SAAB-B.ST'},industry_top_growth,,,"Woodward, Inc.",,,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,0.1839,0.5767195767195767,,,21697837056.0,,,,,,,,11.5,targeted_current,0.5962998430263726,0.1654835764056892,0.4552552058093955,0.9527526135536912,low,4.20441935483871,5.733622127612724,25.0,74.0,0.0,0.0,0.5079675570830167,1.3972145956798487,0.683170676232203,0.1543823321545937,0.2589492412965322,-0.1108902633187289,-0.1108902633187289,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.2326,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2326,review_queue,1,2026-04-01
EME,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"EMCOR Group, Inc.",Buy,0.005039917,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,33344749568.0,,,,,,,,12.0,targeted_current,0.4942093337145345,0.1845938869657832,0.1524748949179322,0.9907514958855126,low,4.583870967741936,5.862521865080914,45.0,271.0,0.0,0.0,0.4014003730882352,1.2350828542591328,0.7381858168171584,0.089673205629526,0.1635444528191936,-0.0916349641139945,0.0034384845483459,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.1628,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1628,review_queue,1,2026-04-01
ODFL,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"Old Dominion Freight Line, Inc.",Hold,0.0062303576,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,39247773696.0,,,,,,,,12.0,targeted_current,0.2732205377464285,0.2246176791568916,0.3854225978305992,0.1853199069570263,low,3.800806451612903,5.006023129423054,68.0,150.0,0.0,0.0,0.2296882400245693,0.5890203130696039,0.7252415757284538,0.144743209869112,0.2147462383954113,-0.0961654484950411,-0.059446479439305,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.1557,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1557,review_queue,1,2026-04-01
FDX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,FedEx Corporation,Buy,0.012959549,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,83945873408.0,,,,,,,,12.0,targeted_current,0.4348660419135041,0.2160878652804607,0.5055371963778017,0.4735839757657281,weak,3.2098870967741933,4.952140698502963,42.0,63.0,0.0,0.0,0.3754340558737128,1.6225046611974838,0.7624439765452684,0.193376542465046,0.3137366920360041,-0.083144608209156,-0.0802324269185764,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,6.5932,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5932,review_queue,1,2026-04-01
GWW,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,"W.W. Grainger, Inc.",Hold,0.007879849,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,49981333504.0,,,,,,,,12.0,targeted_current,0.1203344656978447,0.0628465047769071,0.1506678211225245,0.1187450907336338,weak,3.773693548387096,4.816030577725802,94.0,151.0,46.0,0.304635761589404,0.0768868450643824,0.4263312848342505,0.7346891580785562,0.0447699440842569,0.0612438052376731,-0.0928587946725053,-0.0533217109188544,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,6.2135,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2135,review_queue,1,2026-04-01
WAB,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,Westinghouse Air Brake Technologies Corporation,Strong Buy,0.0065149134,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,41332318208.0,,,,,,,,12.0,targeted_current,0.2859912525233944,0.150810459788707,0.264854749195724,0.3747181522184084,weak,2.573822580645161,4.304883390147621,66.0,27.0,0.0,0.0,0.2295888507593045,1.1995221614638092,0.8395433925119294,0.1124181717126009,0.1738422629105744,-0.0561598126208247,-0.0521864795573209,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,5.8477,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8477,review_queue,1,2026-04-01
CSX,{'SAAB-B.ST'},seed_peer,SAAB-B.ST,,CSX Corporation,Buy,0.011640195,industrials,aerospace-defense,,,,,1,1,SAAB-B.ST,0,0,0,new,,,,,72411136000.0,,,,,,,,12.0,targeted_current,0.2459263313638708,0.117919332037389,0.145687891131548,0.4101682712594345,weak,3.5772741935483867,4.594884250543146,71.0,141.0,0.0,0.0,0.1861023513382851,1.0353706384021684,0.8596909876697123,0.0910999675366057,0.1498496772292414,-0.0491081543156006,-0.0491081543156006,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,5.7885,discovered,1,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7885,review_queue,1,2026-04-01
